,ChName,Dynasty,DynastyBirth,DynastyDeath,EngName,Entry,EraBirth,EraDeath,EraYearBirth,EraYearDeath,Gender,IndexYear,JunWang,Notes,PersonId,SocialStatus,YearBirth,YearDeath,YearsLived,nid
19945,釋公哥羅古羅思監藏班藏卜,元,未詳,未詳,Shi Gonggeluoguluosijiancangbancangbu,,未詳,未詳,,,0,1323,【未詳】,,113444,,,1323,,113444
19946,樂實,元,未詳,未詳,Le Shi,,未詳,未詳,,,0,,【未詳】,,111479,,,,,111479
19947,周明,元,未詳,未詳,Zhou Ming,,未詳,未詳,,,0,1347,【未詳】,"Zhou(1) Ming [28711] CHECK funerary inscription of father, Pu(2) [28706].",28711,,0,0,0,28711
19948,普顏忽里,元,未詳,未詳,Puyanhuli,,未詳,未詳,,,0,,【未詳】,,114381,,,,,114381
19949,楊義,元,未詳,未詳,Yang Yi,,未詳,未詳,,,0,1276,【未詳】,,109419,,1223,1276,54,109419
19950,陳光,元,未詳,未詳,Chen Guang(3),,未詳,未詳,,,0,1345,【未詳】,"Chen(1) Guang(3) [30771] WDY, 2, p. 1270.",30771,士人,0,0,0,30771
19951,玉昔帖木兒,元,未詳,未詳,Yuxitiemuer,血親門,未詳,未詳,,,0,1295,【未詳】,,117407,,1242,1295,54,117407
19952,李璋,元,未詳,未詳,Li Zhang,,未詳,未詳,,,0,,【未詳】,,103014,,,,,103014
19953,王士弘,元,未詳,未詳,Wang Shihong,,未詳,未詳,,,0,,【未詳】,,101029,,,,,101029
19954,吟八失,元,未詳,未詳,Yinbashi,,未詳,未詳,,,0,,【未詳】,,393275,,,,,393275
19955,高禧,元,未詳,未詳,Gao Xi,,未詳,未詳,,,0,,【未詳】,,106216,,,,,106216
19956,趙孟躋,元,未詳,未詳,Zhao Mengji,正常科舉,未詳,未詳,,,0,1303,【未詳】,咸淳七年進士,110638,,1244,1310,67,110638
19957,韓如秀,元,未詳,未詳,Han Ruxiu,,未詳,未詳,,,0,,【未詳】,,112605,,,,,112605
19958,伯藍,元,未詳,未詳,Bolan,,未詳,未詳,,,0,,【未詳】,,113917,,,,,113917
19959,劉元,元,未詳,未詳,Liu Yuan,,未詳,未詳,,,0,,【未詳】,,110792,,,,,110792
19960,脫端,元,未詳,未詳,Tuoduan,,未詳,未詳,,,0,,【未詳】,,117057,,,,,117057
19961,馮真卿,元,未詳,未詳,Feng Zhenqing,,未詳,未詳,,,0,,【未詳】,,109049,,,,,109049
19962,鄭彝,元,未詳,未詳,Zheng Yi,,未詳,未詳,,,0,,【未詳】,,111880,,,,,111880
19963,李齊賢,元,未詳,未詳,Li Qixian,,未詳,未詳,,,0,,【未詳】,,103444,曲作家,,,,103444
19964,王闊闊帖木兒,元,未詳,未詳,Wang Kuokuotiemuer,,未詳,未詳,,,0,1312,【未詳】,Index year algorithmically generated: Rule 8;,101479,,,,,101479
19965,邵憲祖,元,未詳,未詳,Shao Xianzu,正常科舉,未詳,未詳,,,0,1350,【未詳】,Index year algorithmically generated: Rule 6;,104381,落第士人;經學家—易經,,,,104381
19966,郝德昌,元,未詳,未詳,Hao Dechang,,未詳,未詳,,,0,1273,【未詳】,,105969,,1240,1273,34,105969
19967,陳剛,元,未詳,未詳,Chen Gang,,未詳,未詳,,,0,,【未詳】,,107954,落第士人;鄉先生,,,,107954
19968,張訥,元,未詳,未詳,Zhang Ne,,未詳,未詳,,,0,,【未詳】,,106646,早卒(未成年而卒);貞婦,,,,106646
19969,王伯康,元,未詳,未詳,Wang Bokang,,未詳,未詳,,,0,,【未詳】,,101183,,,,,101183
19970,臧良,元,未詳,未詳,Cang Liang,,未詳,未詳,,,0,,【未詳】,,110268,,,,,110268
19971,蒙哥都,元,未詳,未詳,Menggedou,,未詳,未詳,,,0,1310,【未詳】,,115590,,1254,1310,57,115590
19972,元世彥,元,未詳,未詳,Yuan Shiyan,,未詳,未詳,,,0,1333,【未詳】,"Yuan(2) Shiyan [29100] Yuan Mingshan, WJ, 5.44b-45b.",29100,,0,0,0,29100
19973,閻宏,元,未詳,未詳,Yan Hong,薦舉門,未詳,未詳,,,0,1306,【未詳】,,112255,,1255,1306,52,112255
19974,馬薛超吾,元,未詳,未詳,Ma Xuechaowu,,未詳,未詳,,,0,,【未詳】,,106129,詞人,,,,106129
19975,季琯,元,未詳,未詳,Ji Guan,,未詳,未詳,,,0,,【未詳】,,104114,,,,,104114
19976,趙中和,元,未詳,未詳,Zhao Zhonghuo,,未詳,未詳,,,0,,【未詳】,,110507,,,,,110507
19977,楊允廉,元,未詳,未詳,Yang Yunlian,,未詳,未詳,,,0,,【未詳】,,409380,,,,,409380
19978,夏茂成,元,,元,Jia Maocheng,正常科舉,,至正,,23,0,1363,【未詳】,,438824,,,1363,,438824
19979,揑只,元,未詳,未詳,Niezhi,,未詳,未詳,,,0,,【未詳】,,115705,,,,,115705
19980,程良金,元,未詳,未詳,Cheng Liangjin,,未詳,未詳,,,0,1321,【未詳】,,108834,,1262,,,108834
19981,俞振翁,元,未詳,未詳,Yu Zhenweng,,未詳,未詳,,,0,,【未詳】,,117738,,,,,117738
19982,葉禎,明,未詳,未詳,Ye Zhen,,未詳,未詳,,,0,1345,【未詳】,,109726,,1286,1389,104,109726
19983,埜先帖木兒,元,未詳,未詳,Yexiantiemuer,,未詳,未詳,,,0,1328,【未詳】,Index year algorithmically generated: Rule 8;,114817,,,,,114817
19984,王浩翁,元,未詳,未詳,Wang Haoweng,,未詳,未詳,,,0,,【未詳】,,101316,詩人,,,,101316
19985,李邦彥,元,未詳,未詳,Li Bangyan,,未詳,未詳,,,0,,【未詳】,,103281,,,,,103281
19986,張悌,元,未詳,未詳,Zhang Ti,,未詳,未詳,,,0,,【未詳】,,106579,,,,,106579
19987,俞奕曾,元,未詳,未詳,Yu Yizeng,,未詳,未詳,,,0,1310,【未詳】,,104544,,1251,1321,71,104544
19988,陳登,明,未詳,未詳,Chen Deng,,未詳,未詳,,,0,1421,【未詳】,明人傳記資料索引頁碼591,130918,書法家;工於文,1362,1428,,130918
19989,文巴雅爾台,元,未詳,未詳,Wenbayaertai,,未詳,未詳,,,0,,【未詳】,,403627,,,,,403627
19990,廖立孫,元,未詳,未詳,Liao Lisun,,未詳,未詳,,,0,,【未詳】,,110157,,,,,110157
19991,李妙靜,元,未詳,未詳,Li Miaojing,,未詳,未詳,,,1,1308,【未詳】,,117692,,1249,1318,70,117692
19992,帖木哥,元,未詳,未詳,Tiemuge,,未詳,未詳,,,0,,【未詳】,,116980,,,,,116980
